NAME,TITLE,RATING,REVIEW
Deepak Hadke,"
This is a duffer phone & not a smartphone
",1,"

  I have been using this for 15-20 days now and I am even more disappointed!I have been using POCO F1 since the last 1.5 years and I regret to have chosen to move back to Samsung!I so miss my POCOFirst the pros1. The brand name - if you think it is one!2. The display - It's super AMOLED and it's brilliant3. The rear camera - clicks good enough photos4. Build - seems decentCons:1. The UI - It's a big duffer. Samsung's smart switch was a pathetic attempt to move the contacts etc. Had I not cross checked, I would have been crying2. The contact list - It seems like using an age old NoKia device today3. Virtual Buttons - They aren't customizable 😭. What kinda innovation is this4. Clear all apps - it kills the current app too😬. I killed my game many times while trying to fasten up this idiot device5. Gaming - The phone slows down in 10-15 minutes. It's anyways a slow device6. Front camera - it no better than an age old 2MP camera. The image processing is idiotic7. Notifications - This idiot forgets to send email notifications. I have to manually keep checking my emails😭. Believe me, I have tried all settings8. Notification Badges - Does not display any badges on the apps 😂🤣. You have to pull down the notification bar and keep checking9. Dual Apps: This idiot does not support dual apps. Only messengers are supported. I have two accounts on amazon and amazon is not supported in dual apps. Similarly I have two accounts to manage on Linkedin.The more I use this idiot device, the more it frustrates meAnyone who recommends Samsung can kindly stay away from me nowWhat a waste of Money this has been

"
shailesh,"
not up to mark, waste of money
",4,"

  1) claims 21 hour of internet usage timing, i started using it after 100charged  but it barely last for 24 hour with 5 hour of heavy usage and even turned mobile in bettery saving mode.  so what is the point of carry that much heavy 191gm device all around.2) phone heats a lot while its charging ,like you can't even touch it at some point.3)internet bandwith speed in mobile as well as in wifi is not good. i had a samsung galaxy note3 where i get fast internet with same network. wanted to return this device but they had a very strict policy so you cannot return, you can only replace it.  even i am trying it for replacement it wont let me as i have to download balencco app and this app never say your phone is not working fine. i could have spend my money in buying other phone.bought on very first minute of release but al excitment turned down after seeing actual performance.

"
surojit das,"
Don't buy
",5,"

  Cons:1. RAM. Claims to be 6GB, whereas my 2year old phone with 4GB RAM has much smoother display2. Battery Charging. Claims 15W fast charging. Takes more than 2 hours to charge the phone.Pros:1. Good cameras2. Perfect screen sizeI bought it as a great deal from Samsung, but it is a BIG dissappointment. And they say it cannot be returned. Total waste of money for me. Redmi Note pro 8 is much better than this at same price.

"
ravi patel,"
Over heat Processor is very basic processor
",1,"

  What is this samsung,i didn't expect from you.plastic body is ok we can use cover.Corning gorella glass 3 is ok we can use tempered protection.Even 3 hr charging time is ok we can charge during night.But Overheating how can we deal with them !this price range other companies providing super fast , cool processor like snapdragon 730G.& What you do fooling customers.

"
JPS Malhi,"
Got a dead phone.
",2,"

  i am a Big fan of Samsung products, but today i got a dead phone, first i thought it don't have charging so try to charge the phone but no response,i am really really disappointed today. but thanks to amazon the responded quickly and ordered a replacement. but now i am worried about phone performance now. how i am going to handle if future same problem arises. before buy think again.

"
Anuradha,"
Don't buy seriously
",2,"

  Worst experience ever, camera quality not better 5out of 2, battery down very fast, max 3 hours taken charging 100% ,sometime WhatsApp hangups.108 gp free storage but mobile heating high, fingerprints only 3 finger available,  not better fingerprints,  I am the first buyer before launching. Over all don't buy this m 31. No extra protection, no additional option,  very simple mobile,not worthiness of money,

"
Akash Bondugula,"
About phone camera and product
",1,"

  First time met very bad experience from Samsung phone, camera quality is very poor. Front facing camera not good at all. Not comfortable with 6000mahbattery life.Amazon.india  just destroyed their Goodwill by selling this product.I purchased this phone for my friend. And now he is angry on me....Dear customer please avoid to buy this product.

"
Thomas Gowda R,"
Net work speed very slow also charging not like fast charging
",1,"

  Very poor performance.. camera is ok not bad . But very slow net speed .. opening app time is relatively fast but after internet is very slow .... my old mobile Samsung on max is much faster performance for loading web page than Samsung m31 .. this phone taking much more time to open any web site ... remaining everything is ok ..Fast changing is not far like they said .. 30 mins charging it charging 20% but my old Samsung is 30% charged at same time . I have found this two major drawback.

"
Akash Joseph,"
Best Budget phone for Avg Users
",1,"

  It's one of the good looking phone with stunning display & mammoth battery.Pros :1. One of the best display in the segment.( You'll feel it when you hold the phone for first time itself )2. Great battery life (6000 mAH ) with good optimisation.3. SAR rating - lowest one4.  Well weight balanced ( considering big mammoth battery )Cons :1. Samsung should have provided a case along with this ( hard to buy a case at initial days after launch _ phone is slippery and finger print & dust magnet )2. Camera is not so great as expected ( 64 MP)_ wide angle shots are lacking of details _ macro mode is also not great3. Not so great processorWho can buy : people who don't do heavy gaming & not camera oriented. Who looking for great battery & Samsung branding.

"
Veeramani,"
Ok product for the price range
",1,"

  I found the phone to be mediocre in performance.Pros:1. Display: Trust me it’s amazing! You will love the vibrant colours. Images and videos look great in the Amoled screen.2. Battery: 1.5 days backup even after heavy usage.3. Camera: Good, but not excellent.Cons:1. Build: All plastic build, this might have helped in managing the weight, but I guess the durability is compromised.2. Night mode camera: Useless, all grainy and inconsistent photos. Other phones in this price range are way better.3. Zoom camera: Photos are grainy and lacks clarity.4. Face unlock: Mostly doesn’t work even after adding alternate looks.Verdict: You can buy this if you don’t like the Skins of Chinese brands, One UI 2.0 is heavy but better. Hardware wise some Chinese phones are better.

"
Manoj Kumar,"
front cemera
",1,"

  use front cem iam not happy

"
shailesh,"
BAD CAMARA, VERY SLOW CHARGING, NOT IMPRESSIVE  DESIGN. NOT RECOMMENDED.
",4,"

  I was using Redmi not 5 pro prior to this. I feel that phone was quite better than  this.Camara- though it mentions 64 MP camara but it failed to impress me. When we click using front camara it takes 2-3 seconds hold time before clicking  the picture. No flash for front camara.During operation  I didn't  find phone to be user friendlyThe most disappointing thing is time it takes for charging. They claim that it is super fast charging  but it is even slower than my note 5 pro. In 1 hr it charges something  around  25-30%......Design- Not at all attractive.. Doesn't  feel like new phone.Not at all recommend.  You may go go for Mi for realme.. I trusted Samsung  but eventually  it didn't  fulfilled  my expectations.

"
surojit das,"
Worst mobile..Don't buy..Go for  redmi.
",5,"

  Very bad mobile. Heating and hanging problem. Amazon not refunding even having mobile problem. Don't buy this mobile. Go for Redmi mobile. Camera  quality is  worst. Many thing's not  supported. Anyone want to take this mobile please let me know. Reduce some amount. Buy before 7 days. Only  battery is good other is worst. Samsung  must quit in making mobile.

"
Dhananjay ,"
Fraud by samsung
",1,"

  1.Camera - 3.8/52.Performance - 3.0/53.Battery backup - 2.7/5(Battery doesnot prove itself as 6000mah)Charge time is quiq agreed.But,drains fast.Feels like the capacity is 4000mah.My reivew im submitting after a week of observed usage.My major point on selecting this mobile was battery.........They assured 6000mah but the fact is i can just get 4000mah worthfullness.If ur just looking for 6000mah battery mobile this is the worst choice.Badly feel like cheated by samsung.

"
Ramesh B.,"
Worst Mobile... Don't waste money
",1,"

  First... I would like to express my experience of this mobile is tooooooo worst.... It's never performed like 6GB Ram Mobile.... It's working like 512kb ram ram mobile. And another great backdrop is it's bluetooth... It's connectivity does not meets at atleast basic phone... And another thing is it's speaker...This one also very poor.... Batter charging and backup also we can't compare with another brands in the present market... Because its took worst...I already requested to Amazon for return this phone, but, they smoothly refuesed my request as there is no chance to return as per their terms.Finally, my dear all who want to buy this product i strongly recommend that don't buy this mobile and don't waste your money...

"
Sravan sadhu,"
Not satisfied
",1,"

  Disappointed  with Samsung, after many year I decided  to back to Samsung but  truly disappointed. Software performance is worst and heating issue. Camera performance is pathetic, Most Worst part of Amazon policy now you can't return at all, moreover not even replace easily,  you need to install the app then you will surprise  all the problems you face shall be found ok in the software. You will be in difficult situation,what to do?My strong recommendation not to go with Samsung M31.

"
Niranjan Krishna Mucherla,"
Camara quality is too bad
",1,"

  Camara is too bad. Sound clarity is not at all good ... though it looks like a premium phone ,but when you started using it makes you feel that you bought a cheap quality product. Gets frequently stuck and restarts for no reason.

"
Prem Upadhyay,"
Faulty product hanging issue and now not working in 10 days from buy
",1,"

  Dear Amazon Team,I have been delivered faulty product from UP. It is just 15 days from buying the product and it was showing hang issue. and now this phone is dead and restart itself. No customer care is replying. Very poor service. Need replacement of the phone immediately.

"
Rajender,"
Worst  Smartphone  don't waste 15+k here
",1,"

  Please be assure that u experience this phone once either with friends  or Samsung  shop it is a horrible  product  screen is yellow in color after trying  all the settings  it's one and the same  also the touch doesn't  work some time it get stuck or the phone get lock and also the display  has some with touches it automatically  open any app some times the whole problem is with screen and that's what ur going to use most of the time hence if really  u want a Samsung  phone just go and buy it offline  model this online only model are just a scam does not work well the first day it worked fine but as soon as I started using  it as my primary  device  issues  started coming  to me also the battery  has some issues  6000 mah battery  giving  4he of screen on time sometimes  even less then that that to in very low usage no game no videos I watch or play hope this helps u and still waiting  for technical to come and check my product he was supposed  to come today but yet not came and scheduled  for later very bad product and support.

"
CA Bhanudas Parab,"
DONT PURCHASE this M31.
",1,"

  Apart from battrey and screen nothing is good. Front facing camera as per specs is of 32mp. But when u go for high resolution it show 21MP... TOTALLY CRAP. My samsung j7's 8mp is FAR MORE BETTER THAN this one in terms of front camera. FRAUD BY SAMSUNG.Finger prnt reader is not able to detect most of the times.

"
TECHNICAL SHUBHU,"
Totally waste
",1,"

  Dear all pls don't pay this product. Over heating issue and slow charging time 5.30 hours in full charge over slow .and proper not working in sensor..so pls don't pay ..waste your money

"
shailesh,"
Worst amzon service and product by Samsung. Battery performance poor.dont take online
",4,"

  Hi guys. Don't buy this product at all. Its battery performance  is very bad and it's taking more than 4-5 hrs to charginga and its getting complete in less than 1day eventhough we don't use much videos or games. Heating issue also there. Moreover,  I asked for replacement within 10 days itself but Amazon is keeping one useless mediating activity called phone inspection.  They will send some person who is not having any basic knowledge on phone or software and he do some nonsense. Technician means they should be professional  and they should carry some tools to test the phone. But nothing he iwas having. He simply reset my phone and starting checking charging properly or not. Means we should everytime reset our phone and charge and again have to reinstall or what. Very bad service by Amazon and the products they are selling are defective  pieces. Better buy directly from Samsung showroom or don't go for it at all. This is second time I am facing this issue. Samsung-it's a big flop to ur products

"
surojit das,"
Poor quality according to battery and camera....
",5,"

  Bad ever phone I have buy now going to return it back .... in YouTube channels  10hrs continue battery but in reality poor battery performance once you play a game it reduce up to 30percent battery every bad performance.... camera quality that shown by youtubers in reality 64MP doesn't  evn give its 40percent....poor fake quality  display of Samsung and I was always right about it ....

"
Sp,"
Disappointing 6000 mah battery & performance, but good amoled display.
",1,"

  (After 2 months usage)The only advantage is AMOLED display.Performance of this phone is not at par.Battery is also disappointing as far as 6000 MAH is given, it only last a whole day.I was using 3500 mah phone earlier and that almost lasted same. Than 6000 mah should last too much longer than that, it's not optimised.Phone also gets heated sometimes even in normal usage (no games)Also build of the quality is not as standard for this range. It looks ok but actually cheap. The plastics make sounds when you feel it by fingers.Many scratches at back after 2 months usage.Material is just not very good.I did not find it fast enough for 6 GB RAM.Processor is slow. CALL DIALING, and normal features also run slow on this phone.Camera is also not very good.To sum it up, camera, battery ,performance is not up to standards and disappointing and only good id amoled display.

"
Vivek,"
Very bed mobile
",1,"

  Very bed bettery backup

"
atul jain,"
Worst display having serious issue
",1,"

  Hi all - whoever planning to buy M31 please don't its having a serious display issue showing lite pink and when we rotating less then 1 inch in any dimension its showing exact color otherwise direct view showing pink ..half showing one color half display in another color. They are not taking return for this product. Used Samsung before but now thinking never to buy anymore. I want return or replacement from amazon

"
Narendra Ahirwar,"
If u r buying phone for battery or camera
",3,"

  Worst battery..its takes 2.5-3 hours to fully charge may be 3.3 hours. Battery life okay. offen hands while scrolling WhatsApp of Instagram. Screen gets black out every day for 5- 10 seconds.Camera is good.M series in total not good..earlier bought m20 got sick in 12 days company says not replacement , service service also repaired  but it got hanging problem again now m20 is in useless.

"
Amazon Customer,"
SORRY AMAZON AND SAMSUNG.
",1,"

  Sorry but this time Amazon and Samsung really disappointed me.I have bought samsung m30 and m30 S earlier from Amazon and it was really a Goood great deal. But this time it was very disappointing and shameful. I bought m31 megamonster for my soulmate but she really got disappointed with phone and it was really hurting for me.Poor camera quality like a 2 megapixel cameraNot 64mpPoor battery like 3500mAh not 6000mAhDON'T BUY M31 U CAN GO FOR M30S. SORRY SAMSUNG

"
Kalpit Bafna,"
Don't buy, poor quality !!
",1,"

  Very poor quality, phone touch stopped responding on few areas suddenly. Didn't expected this from Samsung. I am not able to use from a month.. :(Tried connecting customer service and they asked to go service center when it opens after lockdown. On asking whether my warranty period would be extended due to this, they completely denied.. I am feeling cheated now. :((Don't buy this phone !!

"
Vir Yadav,"
Best in class, but with a few exceptions
",1,"

  Samsung has created enough hype, got in many stars and YouTube reviewers to sing loud praises of this product. There is enough positive data out there, so I will not repeat that.This is undoubtedly one of the best mid-rangers out there. But with few glaring shortcomings. From minor to major flaws:First thing to note is the back panel, which is prone to scratches and smudges. Samsung could have provided a case or have made arrangements to ship both the device and some selection of cases together. I didn't see many. This phone needs a case. period.Second is the camera. while it is good, with heavy post processing to get the right results. You can reproduce some of the advertised samples with the help of a tripod. But day-to-day shots will be still at 80% mark. No complaints for the price paid though.Third and one of the worst offenders no one ever spoke of is the phone antenna. I have never seen a samsung with such pathetic antenna. Pair that with poor software. Signal is always 33% more attenuated compared to other phones: I have an older Nokia 8: M31 always has 2 bars less signal strength at the same place with same operator. Slips to 2G very easily. Calls are frequently cracking due to bad signal reception. And the software keeps forgetting my preferred network mode: Airtel on LTE auto and BSNL on 3G only. The moment I exit the setting app, it resets everything to LTE auto and the auto downgrade to 2G continues.If you work or live in a place with even 50% signal on your current phones, be warned that this phone will add to your woes by simply not connecting. Antenna design is not something new that had to be completely reinvented for this phone, nor does it involve very expensive materials. Yet Samsung has screwed up in one primary function: How will you watch FHD+ videos if signal and speeds are pathetic because someone screwed up a basic function?

"
Abhinav,"
A nice Option if you use Phone for what it's meant for
",1,"

  Review after 2 days of useScreen - 2 good..animations and transition very good, I won't miss hype around 90hz refresh rateSamsung OS- one UI 2.0 is good but I personally don't like the home screen, using Lawnchair launcher for home screen and dock...Like other features of OneUI2.0Games- Cant say, I dont use mobile for gamingBattery- charged only once til now, so far so goodCamera- Love live focus by samsung..Boehner is applied to all faces in pic, daylight pics and Videos are awesome, yet to test night modeCamera after 10days- indoor and low light is below average and a let down by Samsung.This is my first Samsung Smartphone and I am glad I bought itOpinion after 10 days- reducing rating to 3stars

"
shailesh,"
Poor.....Don't buy
",4,"

  Poor camera and display quality. Its not a 64 MP camera it's  quality is like 8 MP camera. Flash is not working in 64 MP ratio.And Amazon is also not returning this item. Vivo gives more quality in this price range. Now a days Samsung is selling it's name only not quality. Don't buy this.

"
surojit das,"
Worst Experience with Samsung
",5,"

  Hello all,Here I am writing the review of the product after using 20 days, this mobile given the most worst experience.After using 20 days the display is not working, It has stopped working while I am using the mobile.And the Call quality also worst.Unable to connect the calls, every time we have to restart to call some one.Samsung service is also a given worst experience.No one will respond for your issue.No authorized centers will pickup the call and respond to your Query.My suggestions for the new buyers is don't go with this product.Thank you.

"
Amazon Customer,"
Not value for money...waste of money...
",1,"

  Camera quality is not good as it mentioned in specification (64MP).Mobile phone gets hanged sometimes.Battery back up is good.Facilities and other fitures are not good as compared to other brand mobiles in same prize.

"
sandeep,"
Disappointing 64MP Camera!!!!
",1,"

  Camera is not as expected. Its garunteed not 64MP the way it takes pictures. Ofcourse the colors in the pictures are awesome however, if we try to zoom even slightly it doesnt show clearly. Night mode is also not as expected it gives blurr images. I am disappointed with the camera as camera was the sole reason I took this phone. Front camera is as usual with full of beauty effects which I hate. Otherwise, speaking about its other features such as battery, looks and feel, Display, etc it is pretty well with this price. Although the plastic feels kinda cheap but its ok.

"
Mahibub Shaikh,"
Worst Performance and Quality
",1,"

  I don't know this issue for all M31 devices or only my device. Camera quality is very very very bad.. If you do little zoom, you can see black lines are coming and going..If you record video, more than 30 minutes..getting message ""camera not responding message""...Not happy with the audio

"
Amazon Customer,"
This is an average phone just with battery backup only  and not great w r to speed and performance
",2,"

  I thought this may be great replacement of my S9 Plus and it proved me wrong...This is just an average phone with 64 mega pixel and that's it.....very poor performance if you install any apps more than 100 for a 128 GB phone.  The S9 plus can work seamlessly with 150 apps installed without any performance issues except the battery life.Pros:------>> no need to buy camera and use it as a camera.>> Good battery backup>> Selfie Camera is good with 32 mega pixel.Cons:------>> Just a toy phone for someone wants to play with camera.>> we need to look at the processor not just the camera quality.  I set up my office outlook and all other applications in this phone and it just gets struck ever 15 minutes and doesn't even close for 1 min almost.>> This phone with 128 GB is really waste as the processor can't handle that much memory.>> This may be good in videos quality but the poor options while capturing the camera (No Auto Focus).>> Worst face reading technology -- even after face unlock you still need to swipe up, and it sucks...!!!>> The charger that comes with this phone is a garbage it takes 3-4 hours to fully charge this phone.>> This phone is not water proof at all.  If you pour one drop on this phone, your screen touch will stop working.>> The speaker is very low and hardly you can hear when you put a hard case over the phone.>> My phone screen got damaged and not sure where can I get this replaced as there is no insurance for screen flickering issues.Conclusion:-------------An average model phone with 64 mp camera (I don't see any big difference with S9 plus camera features).  Needs a lot of improvement on the processor side and can't be compared with Snapdragon processors.

"
Ravi Kumar Lanke,"
Battery consumption
",3,"

  1) From 0 to 100% taking more than 2 hours.2) Battery consuption is high due to default SAMSUNG apps which cannot be deleted and also reducing performance.3) Not possible to Delete NETFLIX4) Even if you download any app from Samsung store you have to upgrade it through Google Play Store, better to directly download latest updated version from Google Play Store directly5) Available RAM for use is only 3.2 GB due to too many unnecessary SAMSUNG APPS are not allowed to uninstall.It was my first and last mobile of NON STOCK ANDROID mobile, earlier used 5 stock android mobiles out of 6 gb RAM it provided 4.8 GB availablity and all non required apps can be deleted so purchasiñg ""Stock android"" mobile is only good option if want to purchase Android mobileDear Samsung - It was not your fault, I wasnt aware that purchasing NON Stock android will have additional mandatory apps of your company, Can you push OTA update for my device and make it stock android?

"
bhaskar,"
ONLY DISPALY AND BATTERY, ALL PREMIUM FEATURES REMOVED FROM M SERIES BY SAMSUNG. BAD PHONE.
",1,"

  SAMSUNG LOVER WILL FELL UNHAPPY AFTER BUY M SERIES MOBILE SUCH AS I AM FEELING.SAMSUNG M SERIES HAVE VERY BAD & CHEAP MOBILE.I BOUGHT THIS PHONE WITHOUT THINKING, BUT AFTER USE I FOUND THAT THIS DEVICE DO NOT HAVESAMSUNG SECURE FOLDER, SAMSUNG PAY OR PAY MINI, KNOX SECURITY, SAMSUNG PASS, NFC ETC. THE ABSENCE OF THESE THINGS IS NOT BEARABLE. I WILL CHANGE THE DEVICE AFTER SOMETIME WAIT IF ABOVE MENTIONED FACILITY NOT UPDATED IN SOFTWARE UPDATE LATER.A SIMPLE 6000 MAH BATTERY CAN BY OTHER BRAND IN VERY LOWER PRICE. CAMERA QUALITY IS NOT 64 MP EQUAL. THIS PHONE HAVE ONLY BATTERY AND DISPLAY.BUY THIS PHONE AFTER CHECKING ALL FEATURES.

"
Shirish,"
Dont be hurry in buying for Samsung M31
",3,"

  I bought Samsung M31 (6gb,128gb model) 20 days back. First time my hate for samsung reached to peaks.  I made this purchase by keeping following factors :1. Brand - Samsung2.  Released in March 2020  (Felt latest model)3.  Specs are good enough for budget price of 17k.4,  Cam specs4.  Not to a pick a Chinese product.But friends i am telling you who are having above thoughts you make like M31 but dont go for it. Because here are con's :1. While speaking over the phone, Its going to hold even though there is no touch to screen while speaking.2. Even though i haven't enabled call recording, few calls are getting recorded automatically.3. Worst thing, If you upload a pick to Watsapp status your picture quality goes worst.4. For full charging it will take 3 hours. Not used my phone extensively it gave charging for 1.5 day.5. Vedio recording image stabilization - Worst.Then i started googling about unstability of this phone, There was an update for samsung M31 in April which made phone to unstable. Do research and take reviews from the people who are using the phone then go for a better option.I will write above cons to samsung. Please dont waste your money. 10 days replacement only - If someone bought already do thorough checks and replace the phone.

"
BIRENDER KUMAR,"
Charging time jyada battery life low Mick me problem
",1,"

  Charging time up switch of me 6 hour me 51%Or battery life lowMaick me problem

"
shailesh,"
Waste of money...dont buy it...
",4,"

  Weak signal antenna...Flash and wide angle camera don't work with 64MP camera..battery performance don't look like 6000mh. Both front and rear camera quality is bad...making false advertisement on camera and battery performance...don't think you are getting quality features in Rs.16000..if you buy it you are big fool..

"
surojit das,"
Okay, until this happened
",5,"

  I can't believe within a month the phone screen started showing lines.19/05/2020 May Update: Went to the service center in Delhi and the lady and the manager said I'd need to pay if anything is broken. What's the warranty for? I asked what's the ""Gorilla Glass"" for if it couldn't handle a pocket fall (which is what they said happened)? And their reply, ""We are insiders. So we understand these things, there's no such thing as ""gorilla vorilla"" it's a normal mirror. If it falls and breaks then you'll have to pay for this.""I can't believe Samsung has been making a fool of us all these years. Can anyone else confirm this ""insider"" info? Meanwhile, the rest of you should keep this in a bank locker.

"
Sandeep kumar,"
Looks good performance👎
",1,"

  I phone is looks good and camera also assum.. coming to the battery its giving only one day if u using emails, WhatsApp, calls and ect.. am not including games if we using for games may be I can say half day..  heating problems is keeping charging same phone getting heat and if u do WhatsApp call also even 1 to 2 minutes getting same issue and if u talking continuously for 10 to 15 minutes same issue..

"
